기준_년_코드,기준_분기_코드,상권_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,상권_변화_지표,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,아파트_단지_수,아파트_평균_시가,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,종합병원_수,일반_병원_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수,상권_구분_코드_D,상권_구분_코드_R,상권_구분_코드_U,젠트리_여부,예측_clust
2023,1,3120001,723724680,181055137,92702386,89942210,123622078,36338204,22058102,89331955,30304710,2,135,58,104,52,5,171406667,1210615,619709,590907,103799,182565,267845,206457,186837,124178,279373,235970,233489,235786,101819,196384,201041,198415,207904,197742,110148,98984,79,2,0,0,1,0,0,0,1,1,24,1,0,0,0,3
2023,1,3120002,919376058,242595545,109036949,122150008,148303570,34110121,27704413,129385168,37399625,3,102,57,104,52,15,322939141,1310697,578535,732162,160995,219972,231565,199636,262573,188402,240051,228905,237883,275281,140176,184220,186865,193194,194709,196647,188162,166902,43,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1
2023,1,3120003,1630151221,406091277,201803908,202372562,270951330,76495577,50756460,217374185,66010444,2,132,60,104,52,3,1014242424,1243549,610789,632760,82238,198228,285459,201660,186539,126372,269990,263526,257574,238948,87141,193945,201565,203011,209371,201548,123765,110342,112,0,0,0,0,0,0,1,0,2,11,1,0,0,0,1
2023,1,3120004,54769555,18107202,6392298,8717392,7074740,2062615,1900865,3958302,2186107,2,135,62,104,52,2,687333333,418862,213423,205439,26703,66960,101428,68619,53892,31965,87157,100204,98583,78316,22638,66330,68127,69111,71350,67243,42573,34128,33,0,0,0,1,0,0,0,2,0,2,1,0,0,0,1
2023,1,3120005,770611203,222016244,91188919,113561607,119300863,28426156,24106522,81195196,31431839,3,95,56,104,52,2,582651786,294454,140068,154385,38833,47391,52690,45510,59527,54176,55964,54647,56046,47414,26205,41159,41060,42309,43039,42797,44309,39781,16,0,0,0,2,0,0,0,0,0,6,1,0,0,0,1
2023,1,3120007,728976995,198647782,88167412,101132763,120367421,27204614,21987401,86292974,30815293,2,106,57,104,52,9,246855732,756491,365692,390798,86461,122637,149791,117631,134478,102431,159642,148465,153895,133077,58983,109422,113235,114344,117920,114049,100321,87199,40,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1
2023,1,3120010,626948256,187757589,76984270,90038895,96477468,23040870,21779696,51498928,27863402,2,124,64,104,52,3,93878788,1012745,516926,495819,75358,204232,187530,160490,181576,167081,240180,192435,183201,151049,78799,155919,162927,162322,167798,159670,107202,96906,21,0,0,0,2,0,0,0,2,0,5,1,0,0,0,1
2023,1,3120012,1014366960,248010379,134334332,117941974,144250130,38881149,38260540,163536702,50441653,3,104,53,104,52,29,212289419,3464545,1469360,1995185,438563,1234782,419397,376083,435247,508470,515235,503182,608783,905763,423115,445578,471780,486853,479303,501334,570598,509100,63,0,0,0,4,0,0,1,0,1,11,1,0,0,0,1
2023,1,3120013,247302807,66304524,31636055,28880679,40182911,9894095,9077043,26876748,11615671,2,132,64,104,52,3,193466667,873595,451111,422484,60041,175042,158477,146298,153773,136927,191890,162125,158504,147476,76672,133598,139117,139548,142753,136429,96112,86037,29,0,0,0,3,0,0,0,0,0,11,1,0,0,0,1
2023,1,3120014,119275728,30396779,14914425,14256678,19385248,4680054,3875799,17053027,5407227,2,134,58,104,52,1,172000000,1003366,533186,470180,47453,170543,175776,195139,243026,110762,216898,210637,207781,182933,74357,153674,160267,161012,165119,161205,114542,87546,97,0,0,0,0,0,0,0,2,0,4,1,0,0,0,1
